 Coleta de lixo - Brasil
Moradores por Município
Período:2010
"Município";"Moradores"
"170825 FORTALEZA DO TABOCAO";2412
"170830 GOIANORTE";4949
"170900 GOIATINS";12030
"170930 GUARAI";23118
"170950 GURUPI";76374
"170980 IPUEIRAS";1634
"171050 ITACAJA";7085
"171070 ITAGUATINS";6003
"171090 ITAPIRATINS";3497
"171110 ITAPORA DO TOCANTINS";2433
"171150 JAU DO TOCANTINS";3497
"171180 JUARINA";2226
"171190 LAGOA DA CONFUSAO";10102
"171195 LAGOA DO TOCANTINS";3521
"171200 LAJEADO";2761
"171215 LAVANDEIRA";1594
"171240 LIZARDA";3716
"171245 LUZINOPOLIS";2617
"171250 MARIANOPOLIS DO TOCANTINS";4343
"171270 MATEIROS";2196
"171280 MAURILANDIA DO TOCANTINS";3154
"171320 MIRACEMA DO TOCANTINS";20606
"171330 MIRANORTE";12602
"171360 MONTE DO CARMO";6688
"171370 MONTE SANTO DO TOCANTINS";2082
"171380 PALMEIRAS DO TOCANTINS";5716
"171395 MURICILANDIA";3049
"171420 NATIVIDADE";8928
"171430 NAZARE";4372
"171488 NOVA OLINDA";10626
"171500 NOVA ROSALANDIA";3766
"171510 NOVO ACORDO";3752
"171515 NOVO ALEGRE";2286
"171525 NOVO JARDIM";2439
"171550 OLIVEIRA DE FATIMA";1037
"171570 PALMEIRANTE";4915
"171575 PALMEIROPOLIS";7302
"171610 PARAISO DO TOCANTINS";44170
"171620 PARANA";10268
"171630 PAU D'ARCO";4537
"171650 PEDRO AFONSO";11451
"171660 PEIXE";10337
"171665 PEQUIZEIRO";5045
"171670 COLMEIA";8567
"171700 PINDORAMA DO TOCANTINS";4446
"171720 PIRAQUE";2911
"171750 PIUM";6640
"171780 PONTE ALTA DO BOM JESUS";4537
"171790 PONTE ALTA DO TOCANTINS";7133
"171800 PORTO ALEGRE DO TOCANTINS";2780
"171820 PORTO NACIONAL";48795
"171830 PRAIA NORTE";7650
"171840 PRESIDENTE KENNEDY";3662
"171845 PUGMIL";2366
"171850 RECURSOLANDIA";3760
"171855 RIACHINHO";4190
"171865 RIO DA CONCEICAO";1708
"171870 RIO DOS BOIS";2570
"171875 RIO SONO";6227
"171880 SAMPAIO";3863
"171884 SANDOLANDIA";3320
"171886 SANTA FE DO ARAGUAIA";6560
"171888 SANTA MARIA DO TOCANTINS";2884
"171889 SANTA RITA DO TOCANTINS";2109
"171890 SANTA ROSA DO TOCANTINS";4551
"171900 SANTA TEREZA DO TOCANTINS";2514
"172000 SANTA TEREZINHA DO TOCANTINS";2473
"172010 SAO BENTO DO TOCANTINS";4578
"172015 SAO FELIX DO TOCANTINS";1436
"172020 SAO MIGUEL DO TOCANTINS";10454
"172025 SAO SALVADOR DO TOCANTINS";2812
"172030 SAO SEBASTIAO DO TOCANTINS";4281
"172049 SAO VALERIO";4377
"172065 SILVANOPOLIS";5054
"172080 SITIO NOVO DO TOCANTINS";9146
"172085 SUCUPIRA";1738
"172090 TAGUATINGA";14968
"172093 TAIPAS DO TOCANTINS";1935
"172097 TALISMA";2546
"172100 PALMAS";225660
"172110 TOCANTINIA";6725
"172120 TOCANTINOPOLIS";22536
"172125 TUPIRAMA";1569
"172130 TUPIRATINS";2097
"172208 WANDERLANDIA";10941
"172210 XAMBIOA";11448
"210005 ACAILANDIA";103702
"210010 AFONSO CUNHA";5889
"210015 AGUA DOCE DO MARANHAO";11565
"210020 ALCANTARA";21821
"210030 ALDEIAS ALTAS";23927
"210040 ALTAMIRA DO MARANHAO";11039
"210043 ALTO ALEGRE DO MARANHAO";24536
"210047 ALTO ALEGRE DO PINDARE";31008
"210050 ALTO PARNAIBA";10670
"210055 AMAPA DO MARANHAO";6385
"210060 AMARANTE DO MARANHAO";37664
"210070 ANAJATUBA";25236
"210080 ANAPURUS";13903
"210083 APICUM-ACU";14889
"210087 ARAGUANA";13926
"210090 ARAIOSES";42400
"210095 ARAME";31121
