 Coleta de lixo - Brasil
Moradores por Município
Período:2010
"Município";"Moradores"
"261160 RECIFE";1523318
"261170 RIACHO DAS ALMAS";19115
"261180 RIBEIRAO";44317
"261190 RIO FORMOSO";22129
"261200 SAIRE";11199
"261210 SALGADINHO";9264
"261220 SALGUEIRO";55928
"261230 SALOA";15249
"261240 SANHARO";21922
"261245 SANTA CRUZ";13580
"261247 SANTA CRUZ DA BAIXA VERDE";11734
"261250 SANTA CRUZ DO CAPIBARIBE";87038
"261255 SANTA FILOMENA";13341
"261260 SANTA MARIA DA BOA VISTA";39376
"261270 SANTA MARIA DO CAMBUCA";12976
"261280 SANTA TEREZINHA";10973
"261290 SAO BENEDITO DO SUL";13882
"261300 SAO BENTO DO UNA";53121
"261310 SAO CAITANO";35098
"261320 SAO JOAO";21277
"261330 SAO JOAQUIM DO MONTE";20421
"261340 SAO JOSE DA COROA GRANDE";18095
"261350 SAO JOSE DO BELMONTE";32561
"261360 SAO JOSE DO EGITO";31704
"261370 SAO LOURENCO DA MATA";102769
"261380 SAO VICENTE FERRER";16971
"261390 SERRA TALHADA";78981
"261400 SERRITA";18289
"261410 SERTANIA";33699
"261420 SIRINHAEM";39818
"261430 MOREILANDIA";11079
"261440 SOLIDAO";5732
"261450 SURUBIM";58380
"261460 TABIRA";26361
"261470 TACAIMBO";12706
"261480 TACARATU";21910
"261485 TAMANDARE";20660
"261500 TAQUARITINGA DO NORTE";24764
"261510 TEREZINHA";6719
"261520 TERRA NOVA";9250
"261530 TIMBAUBA";53617
"261540 TORITAMA";35437
"261550 TRACUNHAEM";13051
"261560 TRINDADE";26068
"261570 TRIUNFO";14937
"261580 TUPANATINGA";24352
"261590 TUPARETAMA";7890
"261600 VENTUROSA";15991
"261610 VERDEJANTE";9105
"261618 VERTENTE DO LERIO";7870
"261620 VERTENTES";18165
"261630 VICENCIA";30569
"261640 VITORIA DE SANTO ANTAO";129288
"261650 XEXEU";14041
"270010 AGUA BRANCA";19326
"270020 ANADIA";17392
"270030 ARAPIRACA";212808
"270040 ATALAIA";43535
"270050 BARRA DE SANTO ANTONIO";14093
"270060 BARRA DE SAO MIGUEL";7406
"270070 BATALHA";16751
"270080 BELEM";4533
"270090 BELO MONTE";7003
"270100 BOCA DA MATA";25723
"270110 BRANQUINHA";9929
"270120 CACIMBINHAS";10142
"270130 CAJUEIRO";20055
"270135 CAMPESTRE";6490
"270140 CAMPO ALEGRE";50604
"270150 CAMPO GRANDE";9023
"270160 CANAPI";17190
"270170 CAPELA";16661
"270180 CARNEIROS";8139
"270190 CHA PRETA";7087
"270200 COITE DO NOIA";10904
"270210 COLONIA LEOPOLDINA";19987
"270220 COQUEIRO SECO";5515
"270230 CORURIPE";51762
"270235 CRAIBAS";22329
"270240 DELMIRO GOUVEIA";47828
"270250 DOIS RIACHOS";10859
"270255 ESTRELA DE ALAGOAS";17218
"270260 FEIRA GRANDE";21201
"270270 FELIZ DESERTO";4330
"270280 FLEXEIRAS";12288
"270290 GIRAU DO PONCIANO";36169
"270300 IBATEGUARA";15134
"270310 IGACI";25097
"270320 IGREJA NOVA";23242
"270330 INHAPI";17730
"270340 JACARE DOS HOMENS";5356
"270350 JACUIPE";6936
"270360 JAPARATINGA";7652
"270370 JARAMATAIA";5488
"270375 JEQUIA DA PRAIA";11864
"270380 JOAQUIM GOMES";22279
"270390 JUNDIA";4170
"270400 JUNQUEIRO";23772
"270410 LAGOA DA CANOA";18176
"270420 LIMOEIRO DE ANADIA";26844
"270430 MACEIO";925472
"270440 MAJOR ISIDORO";18777
"270450 MARAGOGI";28607
"270460 MARAVILHA";10249
"270470 MARECHAL DEODORO";45505
"270480 MARIBONDO";13567
"270490 MAR VERMELHO";3621
"270500 MATA GRANDE";24640
"270510 MATRIZ DE CAMARAGIBE";23718
"270520 MESSIAS";15427
"270530 MINADOR DO NEGRAO";5262
"270540 MONTEIROPOLIS";6917
"270550 MURICI";24768
"270560 NOVO LINO";12031
"270570 OLHO D'AGUA DAS FLORES";20266
"270580 OLHO D'AGUA DO CASADO";8399
"270590 OLHO D'AGUA GRANDE";4942
"270600 OLIVENCA";11007
"270610 OURO BRANCO";10849
"270620 PALESTINA";5092
"270630 PALMEIRA DOS INDIOS";70013
"270640 PAO DE ACUCAR";23768
"270642 PARICONHA";10248
"270644 PARIPUEIRA";11269
"270650 PASSO DE CAMARAGIBE";14716
"270660 PAULO JACINTO";7401
"270670 PENEDO";60073
"270680 PIACABUCU";17168
"270690 PILAR";33252
"270700 PINDOBA";2847
"270710 PIRANHAS";22812
"270720 POCO DAS TRINCHEIRAS";13778
"270730 PORTO CALVO";25598
"270740 PORTO DE PEDRAS";8320
"270750 PORTO REAL DO COLEGIO";19264
"270760 QUEBRANGULO";11396
"270770 RIO LARGO";67592
"270780 ROTEIRO";6627
"270790 SANTA LUZIA DO NORTE";6873
"270800 SANTANA DO IPANEMA";44747
"270810 SANTANA DO MUNDAU";10804
"270820 SAO BRAS";6681
"270830 SAO JOSE DA LAJE";22472
"270840 SAO JOSE DA TAPERA";30008
"270850 SAO LUIS DO QUITUNDE";32343
"270860 SAO MIGUEL DOS CAMPOS";53946
"270870 SAO MIGUEL DOS MILAGRES";7022
"270880 SAO SEBASTIAO";31867
"270890 SATUBA";14598
"270895 SENADOR RUI PALMEIRA";12959
"270900 TANQUE D'ARCA";6113
"270910 TAQUARANA";18897
"270915 TEOTONIO VILELA";41021
"270920 TRAIPU";25541
"270930 UNIAO DOS PALMARES";59440
"270940 VICOSA";25048
"280010 AMPARO DE SAO FRANCISCO";2269
"280020 AQUIDABA";19989
"280030 ARACAJU";565749
"280040 ARAUA";10849
"280050 AREIA BRANCA";16401
"280060 BARRA DOS COQUEIROS";24888
"280067 BOQUIM";25473
"280070 BREJO GRANDE";7689
"280100 CAMPO DO BRITO";16705
"280110 CANHOBA";3942
"280120 CANINDE DE SAO FRANCISCO";24199
"280130 CAPELA";30481
"280140 CARIRA";19864
"280150 CARMOPOLIS";13338
"280160 CEDRO DE SAO JOAO";5607
"280170 CRISTINAPOLIS";16484
"280190 CUMBE";3807
"280200 DIVINA PASTORA";4287
"280210 ESTANCIA";64139
"280220 FEIRA NOVA";5307
"280230 FREI PAULO";13805
"280240 GARARU";11308
"280250 GENERAL MAYNARD";2928
"280260 GRACHO CARDOSO";5602
"280270 ILHA DAS FLORES";8347
"280280 INDIAROBA";15802
"280290 ITABAIANA";86634
"280300 ITABAIANINHA";38797
"280310 ITABI";4931
"280320 ITAPORANGA D'AJUDA";30261
"280330 JAPARATUBA";16390
"280340 JAPOATA";12928
"280350 LAGARTO";94515
"280360 LARANJEIRAS";26876
"280370 MACAMBIRA";6394
"280380 MALHADA DOS BOIS";3444
"280390 MALHADOR";12027
"280400 MARUIM";16307
"280410 MOITA BONITA";10955
"280420 MONTE ALEGRE DE SERGIPE";13566
"280430 MURIBECA";7340
"280440 NEOPOLIS";18416
"280445 NOSSA SENHORA APARECIDA";8490
"280450 NOSSA SENHORA DA GLORIA";32160
"280460 NOSSA SENHORA DAS DORES";24519
"280470 NOSSA SENHORA DE LOURDES";6232
"280480 NOSSA SENHORA DO SOCORRO";160441
"280490 PACATUBA";13115
"280500 PEDRA MOLE";2961
"280510 PEDRINHAS";8786
"280520 PINHAO";5961
"280530 PIRAMBU";8331
"280540 POCO REDONDO";30672
"280550 POCO VERDE";21920
"280560 PORTO DA FOLHA";27027
"280570 PROPRIA";28242
"280580 RIACHAO DO DANTAS";19345
"280590 RIACHUELO";9229
"280600 RIBEIROPOLIS";17055
"280610 ROSARIO DO CATETE";9117
"280620 SALGADO";19329
"280630 SANTA LUZIA DO ITANHY";12930
"280640 SANTANA DO SAO FRANCISCO";7013
"280650 SANTA ROSA DE LIMA";3746
"280660 SANTO AMARO DAS BROTAS";11330
"280670 SAO CRISTOVAO";78464
"280680 SAO DOMINGOS";10232
"280690 SAO FRANCISCO";3380
"280700 SAO MIGUEL DO ALEIXO";3663
"280710 SIMAO DIAS";38521
"280720 SIRIRI";7976
"280730 TELHA";2952
"280740 TOBIAS BARRETO";47721
"280750 TOMAR DO GERU";12833
"280760 UMBAUBA";22288
"290010 ABAIRA";8299
"290020 ABARE";16986
"290030 ACAJUTIBA";14579
"290035 ADUSTINA";15658
"290040 AGUA FRIA";15647
"290050 ERICO CARDOSO";10812
"290060 AIQUARA";4571
"290070 ALAGOINHAS";141264
"290080 ALCOBACA";21084
"290090 ALMADINA";6307
"290100 AMARGOSA";34141
"290110 AMELIA RODRIGUES";25109
"290115 AMERICA DOURADA";15918
"290120 ANAGE";25473
"290130 ANDARAI";13908
"290135 ANDORINHA";14386
"290140 ANGICAL";14038
"290150 ANGUERA";10181
"290160 ANTAS";16927
"290170 ANTONIO CARDOSO";11532
"290180 ANTONIO GONCALVES";10991
"290190 APORA";17675
"290195 APUAREMA";7399
"290200 ARACATU";13731
"290205 ARACAS";11468
"290210 ARACI";51482
"290220 ARAMARI";10000
"290225 ARATACA";10345
"290230 ARATUIPE";8564
"290240 AURELINO LEAL";13577
"290250 BAIANOPOLIS";13796
"290260 BAIXA GRANDE";19983
"290265 BANZAE";11796
"290270 BARRA";49098
"290280 BARRA DA ESTIVA";21123
"290290 BARRA DO CHOCA";34742
"290300 BARRA DO MENDES";13944
"290310 BARRA DO ROCHA";6255
"290320 BARREIRAS";136680
"290323 BARRO ALTO";13566
"290327 BARROCAS";14154
"290330 BARRO PRETO";6443
"290340 BELMONTE";21566
"290350 BELO CAMPO";15949
"290360 BIRITINGA";14791
"290370 BOA NOVA";15366
"290380 BOA VISTA DO TUPIM";17912
"290390 BOM JESUS DA LAPA";62834
"290395 BOM JESUS DA SERRA";10105
"290400 BONINAL";13680
"290405 BONITO";14816
"290410 BOQUIRA";21994
"290420 BOTUPORA";11122
"290430 BREJOES";14238
"290440 BREJOLANDIA";11046
"290450 BROTAS DE MACAUBAS";10690
"290460 BRUMADO";64363
"290470 BUERAREMA";18568
"290475 BURITIRAMA";19558
"290480 CAATIBA";11393
"290485 CABACEIRAS DO PARAGUACU";17294
"290490 CACHOEIRA";31374
"290500 CACULE";22188
"290510 CAEM";10344
"290515 CAETANOS";13605
"290520 CAETITE";47201
"290530 CAFARNAUM";17160
"290540 CAIRU";15084
"290550 CALDEIRAO GRANDE";12462
"290560 CAMACAN";31353
"290570 CAMACARI";242175
"290580 CAMAMU";35030
"290590 CAMPO ALEGRE DE LOURDES";28038
"290600 CAMPO FORMOSO";66354
"290610 CANAPOLIS";9395
"290620 CANARANA";23940
"290630 CANAVIEIRAS";32135
"290640 CANDEAL";8869
"290650 CANDEIAS";82790
"290660 CANDIBA";13191
"290670 CANDIDO SALES";27876
"290680 CANSANCAO";32821
"290682 CANUDOS";15579
"290685 CAPELA DO ALTO ALEGRE";11494
"290687 CAPIM GROSSO";26432
"290689 CARAIBAS";10195
"290690 CARAVELAS";21175
"290700 CARDEAL DA SILVA";8834
"290710 CARINHANHA";28269
"290720 CASA NOVA";64803
"290730 CASTRO ALVES";25352
"290740 CATOLANDIA";2602
"290750 CATU";50895
"290755 CATURAMA";8838
"290760 CENTRAL";16973
"290770 CHORROCHO";10705
"290780 CICERO DANTAS";32175
"290790 CIPO";15704
"290800 COARACI";20915
"290810 COCOS";18078
"290820 CONCEICAO DA FEIRA";20260
"290830 CONCEICAO DO ALMEIDA";17795
"290840 CONCEICAO DO COITE";61902
"290850 CONCEICAO DO JACUIPE";30029
"290860 CONDE";23355
"290870 CONDEUBA";16868
"290880 CONTENDAS DO SINCORA";4630
"290890 CORACAO DE MARIA";22331
"290900 CORDEIROS";8155
"290910 CORIBE";14221
"290920 CORONEL JOAO SA";16950
"290930 CORRENTINA";31138
"290940 COTEGIPE";13514
"290950 CRAVOLANDIA";5023
"290960 CRISOPOLIS";19999
"290970 CRISTOPOLIS";13269
"290980 CRUZ DAS ALMAS";58336
"290990 CURACA";32104
"291000 DARIO MEIRA";12792
"291005 DIAS D'AVILA";66204
"291010 DOM BASILIO";11325
"291020 DOM MACEDO COSTA";3866
"291030 ELISIO MEDRADO";7922
"291040 ENCRUZILHADA";23619
"291050 ENTRE RIOS";39719
"291060 ESPLANADA";32658
"291070 EUCLIDES DA CUNHA";56064
"291072 EUNAPOLIS";99546
"291075 FATIMA";17619
"291077 FEIRA DA MATA";6161
"291080 FEIRA DE SANTANA";552606
"291085 FILADELFIA";16707
"291090 FIRMINO ALVES";5357
"291100 FLORESTA AZUL";10632
"291110 FORMOSA DO RIO PRETO";22450
"291120 GANDU";30132
"291125 GAVIAO";4466
"291130 GENTIO DO OURO";10609
"291140 GLORIA";15056
"291150 GONGOGI";8314
"291160 GOVERNADOR MANGABEIRA";19734
"291165 GUAJERU";10393
"291170 GUANAMBI";78368
"291180 GUARATINGA";22069
"291185 HELIOPOLIS";13164
"291190 IACU";25663
"291200 IBIASSUCE";10044
"291210 IBICARAI";24178
"291220 IBICOARA";17206
"291230 IBICUI";15636
"291240 IBIPEBA";16930
"291250 IBIPITANGA";14152
"291260 IBIQUERA";4860
"291270 IBIRAPITANGA";22456
"291280 IBIRAPUA";7904
"291290 IBIRATAIA";18888
"291300 IBITIARA";15464
"291310 IBITITA";17782
"291320 IBOTIRAMA";25309
"291330 ICHU";5212
"291340 IGAPORA";15151
"291345 IGRAPIUNA";13252
"291350 IGUAI";25556
"291360 ILHEUS";183090
"291370 INHAMBUPE";36213
"291380 IPECAETA";15304
"291390 IPIAU";44079
"291400 IPIRA";59119
"291410 IPUPIARA";9270
"291420 IRAJUBA";6993
"291430 IRAMAIA";11962
"291440 IRAQUARA";22545
"291450 IRARA";27317
"291460 IRECE";65804
"291465 ITABELA";27978
"291470 ITABERABA";61318
"291480 ITABUNA";203189
"291490 ITACARE";23874
"291500 ITAETE";14837
"291510 ITAGI";13001
"291520 ITAGIBA";15047
"291530 ITAGIMIRIM";7100
"291535 ITAGUACU DA BAHIA";13139
"291540 ITAJU DO COLONIA";7304
"291550 ITAJUIPE";21030
"291560 ITAMARAJU";62727
"291570 ITAMARI";7854
"291580 ITAMBE";22954
"291590 ITANAGRA";7579
"291600 ITANHEM";20150
"291610 ITAPARICA";20601
"291620 ITAPE";10965
"291630 ITAPEBI";10407
"291640 ITAPETINGA";67967
"291650 ITAPICURU";32105
"291660 ITAPITANGA";10149
"291670 ITAQUARA";7663
"291680 ITARANTIM";18506
"291685 ITATIM";14476
"291690 ITIRUCU";12668
"291700 ITIUBA";36043
"291710 ITORORO";19873
"291720 ITUACU";18069
"291730 ITUBERA";26375
"291733 IUIU";10875
"291735 JABORANDI";8945
"291740 JACARACI";13615
"291750 JACOBINA";78915
"291760 JAGUAQUARA";50491
"291770 JAGUARARI";30259
"291780 JAGUARIPE";16299
"291790 JANDAIRA";10246
"291800 JEQUIE";150636
"291810 JEREMOABO";37427
"291820 JIQUIRICA";14047
"291830 JITAUNA";13996
"291835 JOAO DOURADO";22460
"291840 JUAZEIRO";197120
"291845 JUCURUCU";10238
"291850 JUSSARA";15026
"291855 JUSSARI";6463
"291860 JUSSIAPE";8020
"291870 LAFAIETE COUTINHO";3893
"291875 LAGOA REAL";13924
"291880 LAJE";22105
"291890 LAJEDAO";3709
"291900 LAJEDINHO";3924
"291905 LAJEDO DO TABOCAL";8298
"291910 LAMARAO";9546
"291915 LAPAO";25521
"291920 LAURO DE FREITAS";161427
"291930 LENCOIS";10215
"291940 LICINIO DE ALMEIDA";12307
"291950 LIVRAMENTO DE NOSSA SENHORA";42547
"291955 LUIS EDUARDO MAGALHAES";59561
"291960 MACAJUBA";11191
"291970 MACARANI";17006
"291980 MACAUBAS";46949
"291990 MACURURE";8057
"291992 MADRE DE DEUS";17296
"291995 MAETINGA";7023
"292000 MAIQUINIQUE";8765
"292010 MAIRI";19268
"292020 MALHADA";15847
"292030 MALHADA DE PEDRAS";8453
"292040 MANOEL VITORINO";14372
"292045 MANSIDAO";12521
"292050 MARACAS";24554
"292060 MARAGOGIPE";42548
"292070 MARAU";18735
"292080 MARCIONILIO SOUZA";10477
"292090 MASCOTE";14521
"292100 MATA DE SAO JOAO";39865
"292105 MATINA";11116
"292110 MEDEIROS NETO";21505
"292120 MIGUEL CALMON";26418
"292130 MILAGRES";10254
"292140 MIRANGABA";16268
"292145 MIRANTE";10496
"292150 MONTE SANTO";52250
"292160 MORPARA";8266
"292170 MORRO DO CHAPEU";35032
"292180 MORTUGABA";12456
"292190 MUCUGE";10489
"292200 MUCURI";35753
"292205 MULUNGU DO MORRO";12209
"292210 MUNDO NOVO";24301
"292220 MUNIZ FERREIRA";7288
"292225 MUQUEM DE SAO FRANCISCO";10232
"292230 MURITIBA";28854
"292240 MUTUIPE";21398
"292250 NAZARE";27120
"292260 NILO PECANHA";12474
"292265 NORDESTINA";12352
"292270 NOVA CANAA";16610
"292273 NOVA FATIMA";7567
"292275 NOVA IBIA";6615
"292280 NOVA ITARANA";7433
"292285 NOVA REDENCAO";8009
"292290 NOVA SOURE";24080
"292300 NOVA VICOSA";38397
"292303 NOVO HORIZONTE";10495
"292305 NOVO TRIUNFO";15015
"292310 OLINDINA";24851
"292320 OLIVEIRA DOS BREJINHOS";21767
"292330 OURICANGAS";8284
"292335 OUROLANDIA";16385
"292340 PALMAS DE MONTE ALTO";20730
"292350 PALMEIRAS";8343
"292360 PARAMIRIM";20908
"292370 PARATINGA";29474
"292380 PARIPIRANGA";27661
"292390 PAU BRASIL";10743
"292400 PAULO AFONSO";107611
"292405 PE DE SERRA";13693
"292410 PEDRAO";6871
"292420 PEDRO ALEXANDRE";16640
"292430 PIATA";17946
"292440 PILAO ARCADO";32774
"292450 PINDAI";15604
"292460 PINDOBACU";19985
"292465 PINTADAS";10291
"292467 PIRAI DO NORTE";9682
"292470 PIRIPA";12679
"292480 PIRITIBA";22306
"292490 PLANALTINO";8746
"292500 PLANALTO";24435
"292510 POCOES";44551
"292520 POJUCA";32984
"292525 PONTO NOVO";15656
"292530 PORTO SEGURO";125839
"292540 POTIRAGUA";9769
"292550 PRADO";27038
"292560 PRESIDENTE DUTRA";13693
"292570 PRESIDENTE JANIO QUADROS";13620
"292575 PRESIDENTE TANCREDO NEVES";23727
"292580 QUEIMADAS";24511
"292590 QUIJINGUE";27066
"292593 QUIXABEIRA";9534
"292595 RAFAEL JAMBEIRO";22826
"292600 REMANSO";38820
"292610 RETIROLANDIA";12018
"292620 RIACHAO DAS NEVES";21891
"292630 RIACHAO DO JACUIPE";33091
"292640 RIACHO DE SANTANA";30541
"292650 RIBEIRA DO AMPARO";14193
"292660 RIBEIRA DO POMBAL";47398
"292665 RIBEIRAO DO LARGO";8554
"292670 RIO DE CONTAS";12987
"292680 RIO DO ANTONIO";14794
"292690 RIO DO PIRES";11898
"292700 RIO REAL";37059
"292710 RODELAS";7742
"292720 RUY BARBOSA";29743
"292730 SALINAS DA MARGARIDA";13422
"292740 SALVADOR";2652664
"292750 SANTA BARBARA";19039
"292760 SANTA BRIGIDA";14965
"292770 SANTA CRUZ CABRALIA";26018
"292780 SANTA CRUZ DA VITORIA";6667
"292790 SANTA INES";10312
"292800 SANTALUZ";33672
"292805 SANTA LUZIA";13215
"292810 SANTA MARIA DA VITORIA";40188
"292820 SANTANA";24626
"292830 SANTANOPOLIS";8749
"292840 SANTA RITA DE CASSIA";26108
"292850 SANTA TERESINHA";9632
"292860 SANTO AMARO";57420
"292870 SANTO ANTONIO DE JESUS";90232
"292880 SANTO ESTEVAO";47618
"292890 SAO DESIDERIO";27207
"292895 SAO DOMINGOS";9214
"292900 SAO FELIX";14062
"292905 SAO FELIX DO CORIBE";12997
"292910 SAO FELIPE";20264
"292920 SAO FRANCISCO DO CONDE";32941
"292925 SAO GABRIEL";18349
"292930 SAO GONCALO DOS CAMPOS";33189
"292935 SAO JOSE DA VITORIA";5690
"292937 SAO JOSE DO JACUIPE";10156
"292940 SAO MIGUEL DAS MATAS";10383
"292950 SAO SEBASTIAO DO PASSE";41983
"292960 SAPEACU";16531
"292970 SATIRO DIAS";18864
"292975 SAUBARA";11148
"292980 SAUDE";11819
"292990 SEABRA";41642
"293000 SEBASTIAO LARANJEIRAS";10311
"293010 SENHOR DO BONFIM";74089
"293015 SERRA DO RAMALHO";31553
"293020 SENTO SE";37313
"293030 SERRA DOURADA";18070
"293040 SERRA PRETA";15372
"293050 SERRINHA";75990
"293060 SERROLANDIA";12280
"293070 SIMOES FILHO";117301
"293075 SITIO DO MATO";12020
"293076 SITIO DO QUINTO";12544
"293077 SOBRADINHO";21859
"293080 SOUTO SOARES";15850
"293090 TABOCAS DO BREJO VELHO";11414
"293100 TANHACU";19971
"293105 TANQUE NOVO";16077
"293110 TANQUINHO";7996
"293120 TAPEROA";18682
"293130 TAPIRAMUTA";16414
"293135 TEIXEIRA DE FREITAS";136829
"293140 TEODORO SAMPAIO";7842
"293150 TEOFILANDIA";21443
"293160 TEOLANDIA";14780
"293170 TERRA NOVA";12786
"293180 TREMEDAL";16989
"293190 TUCANO";52195
"293200 UAUA";24227
"293210 UBAIRA";19690
"293220 UBAITABA";20547
"293230 UBATA";24864
"293240 UIBAI";13596
"293245 UMBURANAS";16899
"293250 UNA";23861
"293260 URANDI";16430
"293270 URUCUCA";19721
"293280 UTINGA";18117
"293290 VALENCA";88163
"293300 VALENTE";24508
"293305 VARZEA DA ROCA";13747
"293310 VARZEA DO POCO";8655
"293315 VARZEA NOVA";13046
"293317 VARZEDO";9104
"293320 VERA CRUZ";37266
"293325 VEREDA";6782
"293330 VITORIA DA CONQUISTA";304806
"293340 WAGNER";8964
"293345 WANDERLEY";12445
"293350 WENCESLAU GUIMARAES";21910
"293360 XIQUE-XIQUE";45422
"310010 ABADIA DOS DOURADOS";6648
"310020 ABAETE";22485
"310030 ABRE CAMPO";13119
"310040 ACAIACA";3910
"310050 ACUCENA";10230
"310060 AGUA BOA";15078
"310070 AGUA COMPRIDA";2000
"310080 AGUANIL";4038
"310090 AGUAS FORMOSAS";18366
"310100 AGUAS VERMELHAS";12701
"310110 AIMORES";24791
"310120 AIURUOCA";6058
"310130 ALAGOA";2678
"310140 ALBERTINA";2896
"310150 ALEM PARAIBA";34203
"310160 ALFENAS";73337
"310163 ALFREDO VASCONCELOS";6074
"310170 ALMENARA";38478
"310180 ALPERCATA";7126
"310190 ALPINOPOLIS";18336
"310200 ALTEROSA";13669
"310205 ALTO CAPARAO";5243
"310210 ALTO RIO DOCE";12058
"310220 ALVARENGA";4433
"310230 ALVINOPOLIS";15146
"310240 ALVORADA DE MINAS";3526
"310250 AMPARO DO SERRA";5032
"310260 ANDRADAS";36991
"310270 CACHOEIRA DE PAJEU";8919
"310280 ANDRELANDIA";12086
"310285 ANGELANDIA";7995
"310290 ANTONIO CARLOS";11083
"310300 ANTONIO DIAS";9540
"310310 ANTONIO PRADO DE MINAS";1671
"310320 ARACAI";2243
"310330 ARACITABA";2057
"310340 ARACUAI";35691
"310350 ARAGUARI";109138
"310360 ARANTINA";2822
"310370 ARAPONGA";8126
"310375 ARAPORA";6138
"310380 ARAPUA";2760
"310390 ARAUJOS";7822
"310400 ARAXA";93117
"310410 ARCEBURGO";9455
"310420 ARCOS";36349
"310430 AREADO";13676
"310440 ARGIRITA";2895
"310445 ARICANDUVA";4750
"310450 ARINOS";17591
"310460 ASTOLFO DUTRA";13012
"310470 ATALEIA";14411
"310480 AUGUSTO DE LIMA";4922
"310490 BAEPENDI";18111
"310500 BALDIM";7848
"310510 BAMBUI";22557
"310520 BANDEIRA";4973
"310530 BANDEIRA DO SUL";5318
"310540 BARAO DE COCAIS";28336
"310550 BARAO DE MONTE ALTO";5702
"310560 BARBACENA";124864
"310570 BARRA LONGA";6123
"310590 BARROSO";19487
"310600 BELA VISTA DE MINAS";10000
"310610 BELMIRO BRAGA";3378
"310620 BELO HORIZONTE";2357212
"310630 BELO ORIENTE";23313
"310640 BELO VALE";7530
"310650 BERILO";12285
"310660 BERTOPOLIS";4481
"310665 BERIZAL";4353
"310670 BETIM";376666
"310680 BIAS FORTES";3787
"310690 BICAS";13574
"310700 BIQUINHAS";2621
"310710 BOA ESPERANCA";38306
"310720 BOCAINA DE MINAS";4993
"310730 BOCAIUVA";46436
"310740 BOM DESPACHO";45459
"310750 BOM JARDIM DE MINAS";6452
"310760 BOM JESUS DA PENHA";3853
"310770 BOM JESUS DO AMPARO";5469
"310780 BOM JESUS DO GALHO";15301
"310790 BOM REPOUSO";10423
"310800 BOM SUCESSO";17115
"310810 BONFIM";6769
"310820 BONFINOPOLIS DE MINAS";5772
"310825 BONITO DE MINAS";9642
"310830 BORDA DA MATA";17007
"310840 BOTELHOS";14816
"310850 BOTUMIRIM";6488
"310855 BRASILANDIA DE MINAS";14178
"310860 BRASILIA DE MINAS";31008
"310870 BRAS PIRES";4600
"310880 BRAUNAS";5020
"310890 BRAZOPOLIS";14514
"310900 BRUMADINHO";33730
"310910 BUENO BRANDAO";10836
"310920 BUENOPOLIS";10197
"310925 BUGRE";3988
"310930 BURITIS";22447
"310940 BURITIZEIRO";26762
"310945 CABECEIRA GRANDE";6432
"310950 CABO VERDE";13621
"310960 CACHOEIRA DA PRATA";3650
"310970 CACHOEIRA DE MINAS";10967
"310980 CACHOEIRA DOURADA";2498
"310990 CAETANOPOLIS";10177
"311000 CAETE";40433
"311010 CAIANA";4960
"311020 CAJURI";4042
"311030 CALDAS";13548
"311040 CAMACHO";3153
"311050 CAMANDUCAIA";20821
"311060 CAMBUI";26350
"311070 CAMBUQUIRA";12458
"311080 CAMPANARIO";3556
"311090 CAMPANHA";15292
"311100 CAMPESTRE";20529
"311110 CAMPINA VERDE";18782
"311115 CAMPO AZUL";3662
"311120 CAMPO BELO";51245
"311130 CAMPO DO MEIO";11376
"311140 CAMPO FLORIDO";6784
"311150 CAMPOS ALTOS";14149
"311160 CAMPOS GERAIS";27485
"311170 CANAA";4601
"311180 CANAPOLIS";11308
"311190 CANA VERDE";5555
"311200 CANDEIAS";14488
"311205 CANTAGALO";4185
"311210 CAPARAO";5203
"311220 CAPELA NOVA";4743
"311230 CAPELINHA";34528
"311240 CAPETINGA";6979
"311250 CAPIM BRANCO";8831
"311260 CAPINOPOLIS";15184
"311265 CAPITAO ANDRADE";4919
"311270 CAPITAO ENEAS";14140
"311280 CAPITOLIO";8108
"311290 CAPUTIRA";9020
"311300 CARAI";22287
"311310 CARANAIBA";3287
"311320 CARANDAI";23295
"311330 CARANGOLA";32032
"311340 CARATINGA";84506
"311350 CARBONITA";9109
"311360 CAREACU";6251
"311370 CARLOS CHAGAS";19972
"311380 CARMESIA";2434
"311390 CARMO DA CACHOEIRA";11635
"311400 CARMO DA MATA";10864
"311410 CARMO DE MINAS";13670
"311420 CARMO DO CAJURU";19917
"311430 CARMO DO PARANAIBA";29345
"311440 CARMO DO RIO CLARO";20294
"311450 CARMOPOLIS DE MINAS";16943
"311455 CARNEIRINHO";9411
"311460 CARRANCAS";3891
"311470 CARVALHOPOLIS";3315
"311480 CARVALHOS";4530
"311490 CASA GRANDE";2243
"311500 CASCALHO RICO";2835
"311510 CASSIA";17317
"311520 CONCEICAO DA BARRA DE MINAS";3926
"311530 CATAGUASES";69305
"311535 CATAS ALTAS";4833
"311540 CATAS ALTAS DA NORUEGA";3460
"311545 CATUJI";6673
"311547 CATUTI";5092
"311550 CAXAMBU";21521
"311560 CEDRO DO ABAETE";1209
"311570 CENTRAL DE MINAS";6765
"311580 CENTRALINA";10241
"311590 CHACARA";2790
"311600 CHALE";5591
"311610 CHAPADA DO NORTE";15173
"311615 CHAPADA GAUCHA";10718
"311620 CHIADOR";2770
"311630 CIPOTANEA";6518
"311640 CLARAVAL";4523
"311650 CLARO DOS POCOES";7770
"311660 CLAUDIO";25428
"311670 COIMBRA";7018
"311680 COLUNA";8963
